"Scroll to Top","Scroll to Top"
General,General
Enable,Enable
Display,Display
Position,Position
"Text on Link","Text on Link"
"Background Color","Background Color"
"Background Hover Color","Background Hover Color"
"Text Colour","Text Colour"
"Text Hover Colour","Text Hover Colour"
"Image for Link","Image for Link"
"Image for Hover Link","Image for Hover Link"
